route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
3635,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,e4ce93b7-0245-4e13-bc09-9aa80037a336,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,910b94f7-9402-40d5-9463-f477101f8f16
3635,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,435af634-741f-4811-8e67-86415612495b,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,8c8deff6-c622-49ae-b020-8d54fc24f12f
3635,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,fb445059-1c34-4f55-ba69-3463627eb6d8,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,593ad774-e525-47fe-a6fd-3bdec9d43edc
3637,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,3cfdd858-7b55-4ea1-b8c1-b40c47d55746,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,70b24928-80a6-4394-99cf-b671cef0bec1
3631,934e9677-5487-4e7d-b5a7-bdeed05384fa,3d8e329a-587f-4426-9954-9ce7882d7fc3,9e4afcee-a6a5-42cd-96fb-b25496752ca2,Holly Springs,1,a10efd50-4d51-402d-ae04-4b501c2df3bc
3635,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,8a33d1df-659b-4797-9ac1-d72d68f92a3b,af1a36b8-6260-43db-a91f-010e01560b10,Durham Station,1,8c8deff6-c622-49ae-b020-8d54fc24f12f
3642,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,1100956d-c001-4564-9170-6e8f02c7788f,f81eee6d-9e9f-4a85-8bb6-69212f04420a,Regional Transit Center,0,b00de676-3da5-4cc6-b31b-231243ded1bf
3640,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,0f742ebf-ada9-4a5d-a84b-b2e1bf3d729b,e6195aa9-3fac-4145-8d01-1112db3500c2,Durham Station,1,fb8e35b4-1dd2-40b9-9127-4876d97cb209
3646,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,176cd070-f678-453b-84a8-897e5ce9dc98,37b8b62c-4324-4e3a-b60a-0096338072aa,Regional Transit Center,0,bb7d252a-6216-4baa-89db-a077421b62bb
3643,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,1421ba43-3c41-4373-a908-1e17853ef848,76c45b1b-9a26-4fda-8f62-3b2b7b5ceb2d,Wake Forest,1,a866eddb-5d6d-46ec-b7de-e0fcce17638b
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,286e09fc-1244-4ef3-acb5-f16ed7f424d8,a44abbb3-64a4-4e30-ad57-5da05aa9e17c,Regional Transit Center,0,7e0b5c46-7782-425a-bb4f-5f1f187edb10
3633,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,acb97ac6-22dc-47a0-a555-6889b5410509,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,0b732905-9525-413e-b2cd-0b456ab978f2
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,e02eb0fc-e26a-4641-a040-316455fcb9fb,cdb03de9-c80f-459b-9a37-f6f593cb83ed,Regional Transit Center,1,48cfae83-fcc5-476f-91cf-3ca35cc54693
3635,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,764c52a2-5f18-4ad8-8967-70e225afafd1,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,910b94f7-9402-40d5-9463-f477101f8f16
3642,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,235f1f87-3bf1-4fd3-98fe-f8fb8d8f222d,3325112f-6379-488d-aecc-eac07412a977,RDU Airport,1,b00de676-3da5-4cc6-b31b-231243ded1bf
3635,0ebae99b-1ac5-466d-b0be-22f06dd11455,77722750-7a08-4f51-8348-577034f8b0e0,ecf4faf7-0683-4910-a28f-40a7e79519cf,Regional Transit Center,0,d589af56-3821-47a4-aba2-77a9280de590
3630,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,bef27f6d-ec06-4b18-8a2a-ea05d7226ad6,a6c4894d-502e-464c-a4d3-017ef19d19b8,Raleigh Union Station,0,064af2e8-7aa2-459d-abcd-6ec21ec872e2
3639,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,ea3a7d20-b397-4c37-9b5b-4eeed19e0a7a,1e75cbe9-7e93-4eb4-9cd1-b77c1e469d1c,Chapel Hill,1,66e5cd7e-e055-46b1-80bf-496d7e4ecfa4
3630,934e9677-5487-4e7d-b5a7-bdeed05384fa,f01de135-2f93-44bf-b56e-5db8f9259c34,a6c4894d-502e-464c-a4d3-017ef19d19b8,Raleigh Union Station,0,7651ff12-d772-492f-a20d-b00c22a16f64
3631,0ebae99b-1ac5-466d-b0be-22f06dd11455,d9a0232f-e944-40fe-a22b-e442a56f2bc8,af07a6b6-3205-42a7-b7de-20664c333802,Raleigh,0,f225dc78-cdbb-4183-a1ea-b0ddfd82463c
3629,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,109d08cf-4143-4817-bd96-ff3833f6ee6d,b2147f92-36e8-417b-b2b8-e87a47135d4e,Regional Transit Center,1,ed605d50-b9a8-4d12-ba8c-42b24777c892
3640,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,ee36682c-7508-4bb0-b379-498c73a73544,351a564c-bb51-4c7c-9fee-bc1cc0904003,Raleigh Union Stn,0,8beea098-c859-4cb8-b467-9339890ec72c
3630,934e9677-5487-4e7d-b5a7-bdeed05384fa,4f7ee9fa-aa4d-4fc1-97dc-7db46c5c2c47,a6c4894d-502e-464c-a4d3-017ef19d19b8,Raleigh Union Station,0,8c918e52-a726-4daa-9699-3d6478d7c4db
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,6bf9f5ea-b64d-4082-a7ce-292a617c9bdf,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,b4609787-f65b-4817-9137-1a745d07effb
3630,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,51d641e6-6108-4a45-84ff-b8e43ce3538d,a6c4894d-502e-464c-a4d3-017ef19d19b8,Raleigh Union Station,0,064af2e8-7aa2-459d-abcd-6ec21ec872e2
3629,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,bc898de6-43b1-4dba-a072-9a2d447ade0f,e147fd6a-4bbc-40a7-8935-55cf83b10823,Regional Transit Center,1,bc1f9c7b-67a6-414d-918b-1109e777b37b
3631,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,7ea6736e-b82e-4d2f-9ae7-5217b50f9423,9e4afcee-a6a5-42cd-96fb-b25496752ca2,Holly Springs,1,75f37f53-8ca3-4f1f-915e-41079dffbec7
3633,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,4c031ddc-2c56-4ffa-ae64-9e392508b536,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,10be8359-4c48-421b-bcf3-ae8f3abc2268
3631,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,8c5c98d3-1dc3-4200-8450-5c97ee3d0b98,9e4afcee-a6a5-42cd-96fb-b25496752ca2,Holly Springs,1,39fd2e07-2042-4e04-bb86-5efc3599e674
3631,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,39a6b469-f15e-479b-97d2-a1fea6b124d2,9e4afcee-a6a5-42cd-96fb-b25496752ca2,Holly Springs,1,bd5028dc-1de2-4f66-9b27-92752a52a3ed
3630,0ebae99b-1ac5-466d-b0be-22f06dd11455,65325e72-ba32-44cb-92d8-5bfbbf43d0e1,1880e5c0-b3a9-41d7-a43d-3275bee850f0,Cary,1,e3076194-c208-4e3f-9bb6-a6817bc517aa
3629,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,69c6de73-e3db-41c0-9804-d1d25c9bad6f,e147fd6a-4bbc-40a7-8935-55cf83b10823,Regional Transit Center,1,7008e0dc-71d9-4b7d-8bf3-56cc6900c113
3633,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,cb553d86-eeef-4f23-89e3-b34c43406b70,5bf76334-d84b-4b1e-aebc-fe9cdc91a243,Chapel Hill and UNC Hospitals,0,910b94f7-9402-40d5-9463-f477101f8f16
