shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.92015,-79.03883,480,21949.45
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91988,-79.03878,481,21979.79
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.919669,-79.038759,482,22003.31
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.919539,-79.03877,483,22017.79
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91944,-79.03878,484,22028.83
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.919369,-79.038799,485,22036.9
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.919279,-79.038839,486,22047.53
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.919199,-79.038889,487,22057.49
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.95318,-79.05782,555,22972.72
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.9888,-78.958149,185,7376.72
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.98702,-78.958109,186,7574.55
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.96065,-78.86481,184,6757.97
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.960349,-78.86475,185,6791.85
39d20ab2-ba1d-4d2e-aeed-5c65e4f63942,35.697729,-78.833639,788,28954.11
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.959969,-78.86468,186,6834.54
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.959519,-78.864609,187,6884.95
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.958989,-78.86454,188,6944.17
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.95867,-78.86449,189,6979.9
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.949989,-79.001139,369,16951.84
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.949799,-79.00156,370,16995.2
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.949329,-79.002579,371,17100.7
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.93699754,-79.02600748,411,19642.26
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.934751,-79.029877,428,20074.01
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.93643,-79.026869,413,19744.6
