stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1823,1842,Chatham St at WakeMed Soccer Park (EB),,35.790431,-78.753918,0,1
12710,6411,Hillsborough St at Bashford Rd (EB),,35.788513,-78.742584,0,0
12712,6413,Hillsborough St at Wolfwood Dr (EB),,35.786686,-78.731971,0,0
10952,9322,Western Blvd at Jones Franklin Rd,,35.785215,-78.720693,0,1
12683,9065,Western Blvd at Heather Dr (EB),,35.786404,-78.713748,0,1
12232,9066,Western Blvd at Deboy St (EB),,35.785869,-78.706524,0,1
1852,1303,Western Blvd at Clanton St (EB),,35.784575,-78.689832,0,1
1802,1277,Western Blvd at Dan Allen Dr (EB),,35.781668,-78.678005,0,1
12808,2038,Western Blvd at Pullen Rd (EB),,35.778998,-78.668014,0,0
1808,8569,Western Blvd at Hunt Dr (EB),,35.774628,-78.656522,0,0
1806,1281,Western Blvd at Boylan Ave (EB),,35.771348,-78.652937,0,1
1938,1283,Wilmington St at South St,,35.770634,-78.638524,0,0
1939,1284,Wilmington St at Cabarrus St,,35.774334,-78.638285,0,0
12174,5507,Chapel Hill St at Gregson St (WB),,35.997049,-78.909564,0,1
1561,1104,Trent Dr at Erwin Rd (SB),,36.008588,-78.933797,0,1
1558,1105,Erwin Rd at Fulton St (WB),,36.008289,-78.9378,0,1
12190,6068,Erwin Rd at Downing St (WB),,36.008863,-78.943709,0,1
12618,5531,Erwin Rd at LaSalle St (WB),,36.008142,-78.945698,0,1
12164,5255,Erwin Rd at Lambeth Cir (WB),,36.006834,-78.947226,0,1
12602,5145,Erwin Rd at Morreene Rd (SB),,36.003729,-78.950986,0,1
1548,1107,Erwin Rd at Cameron Blvd (SB),,35.999002,-78.952947,0,1
12636,6036,University Dr at Martin Luther King Jr Pkwy (EB),,35.962673,-78.960325,0,1
12608,5361,Westgate Dr at South Square (NB),,35.965571,-78.960702,0,1
12194,6197,Witherspoon Blvd at McFarland Dr (SB),,35.9509,-78.989783,0,1
12642,6198,Mt Moriah Rd at Danziger Dr (NB),,35.949483,-78.99434,0,1
12858,2075,[Stop Closed] Fordham Blvd at Eastowne Dr (WB),,35.947001,-79.007896,0,0
1501,3273,E Franklin St at Eastgate Crossing (WB),,35.936871,-79.026386,0,1
1499,3366,E Franklin St at Elliott Rd (WB),,35.934751,-79.029877,0,1
1497,3368,E Franklin St at Couch Rd (WB),,35.932363,-79.032237,0,1
1495,3259,E Franklin St at Estes Dr (WB),,35.928714,-79.034711,0,1
1493,3263,E Franklin St at Vet Hospital (WB),,35.926733,-79.036116,0,1
1475,3265,E Franklin St at Elizabeth St (WB),,35.924249,-79.038433,0,1
1473,3251,E Franklin St at Carolina Ave (WB),,35.918222,-79.040219,0,1
1472,3256,E Franklin St at N Boundary St (WB),,35.916783,-79.046576,0,1
1471,3258,E Franklin St at Pickard Ln (WB),,35.915208,-79.050645,0,1
1423,3428,E Franklin St at Varsity Theatre (WB),,35.913655,-79.054886,0,1
1422,3179,S Columbia St at Fraternity Ct (SB),,35.911654,-79.05503,0,1
1419,3211,Pittsboro St at McCauley St (SB),,35.908897,-79.054816,0,1
1418,3226,Pittsboro St at Credit Union (SB),,35.906906,-79.054892,0,1
1416,3221,Mason Farm Rd at Ambulatory Care Center (EB),,35.90212,-79.054326,0,1
1427,3436,East Dr at Mason Farm Rd (EB),,35.901392,-79.051456,0,1
11442,3237,East Dr at Jackson Cir (NB),,35.9019,-79.050701,0,1
1381,8030,Triangle Town Center P&R,,35.863731,-78.576753,0,0
12744,8607,S Main St at Wake Dr,,35.94765,-78.53515,0,0
12746,8609,S Main St at Ligon Mill Rd,,35.949368,-78.531609,0,0
12748,8611,S Main St at Rodgers Rd (Factory),,35.95235,-78.52774,0,0
12740,2003,S Main St at NC 98 (NB),,35.964807,-78.517807,0,0
12742,1810,Holding Ave at Brooks St (WB),,35.97108,-78.51127,0,0
12718,3138,Jones Ferry Park-and-Ride,,35.90152,-79.09036,0,0
12730,3573,Jones Ferry Rd at Willow Creek SC (EB),,35.90488,-79.088803,0,0
11995,3489,Jones Ferry Rd at Davie Rd (EB),,35.906746,-79.083097,0,1
11998,3505,E Main St at Weaver St Realty (EB),,35.910398,-79.070722,0,1
1735,1777,Slater Rd at Sheraton Hotel (WB),,35.87602,-78.83729,0,1
1683,1563,Slater Rd at Emperor Blvd (WB),,35.878153,-78.84399,0,1
12811,2059,Hopson Rd at Miami Blvd (WB),,35.87718,-78.85177,0,0
12813,2061,Hopson at Faulkner St (WB),,35.87748,-78.8568,0,0
12073,1555,Davis Dr at Hopson Rd (Verisk Health & Manpower),,35.87599,-78.8629,0,0
12816,2064,Davis Dr at Park Knoll Dr (SB),,35.87368,-78.86283,0,0
1636,1038,Davis Dr at Wally Gilbert Dr (Delta Products Corp),,35.860673,-78.873113,0,0
1666,1350,Davis Dr at Kit Creek Rd (Biogen),,35.858933,-78.871479,0,0
1665,1039,Kit Creek Rd at Davis Dr (Pfizer),,35.855566,-78.872099,0,0
1635,1798,Kit Creek Rd at Cisco (Buildings 7 & 8),,35.85656,-78.875179,0,0
1632,1799,Kit Creek Rd at Cisco (Buildings 10 & 11),,35.859135,-78.884104,0,0
12819,1426,"O'Kelly Chapel Rd at Parkside Main St (WB)",,35.84592,-78.88642,0,0
12821,1429,NC 55 at Mahal Ave (SB),,35.83579,-78.88273,0,0
1623,1248,NC 55 at Indian Wells Rd (SB),,35.82145,-78.87407,0,0
12853,2077,NC 55 at Green Hope School Rd (SB),,35.80257,-78.87145,0,0
1626,1440,NC 55 at Highfield Ave,,35.79321,-78.87069,0,0
1624,1441,NC 55 at High House Rd (SB),,35.787168,-78.871082,0,0
1586,1442,NC 55 at Catlin Rd (Chesney Glen),,35.778273,-78.872533,0,0
1572,1443,NC 55 at Turner Creek Rd,,35.77391,-78.87342,0,0
1570,1444,NC 55 at Jenks Rd,,35.760629,-78.875843,0,0
1567,1446,NC 55 at Vision Dr (SB),,35.75208,-78.877169,0,0
1576,1731,Williams St (NC 55) at Beaver Creek Commons,,35.74382,-78.87098,0,0
1574,1723,Williams St (NC 55) at Bank of America,,35.73825,-78.86505,0,0
12824,16055,W Williams St at Bryan Dr (Post Office),,35.73345,-78.86161,0,0
12826,16057,W Williams St at Upchurch St (SB),,35.72858,-78.85743,0,0
12828,16061,E Williams St at S Hughes St (Park and Ride (SB)),,35.72609,-78.85122,0,0
12830,16067,NC 55 at Apex Peakway (SB),,35.71913,-78.84307,0,0
12832,2071,Williams St at Reunion Creek Pkwy (SB),,35.690671,-78.834064,0,0
12831,2069,Main St at Osterville Dr (SB),,35.677977,-78.832821,0,0
12136,1231,North Main Athletic Complex Park-and-Ride (WB),,35.669635,-78.836741,0,1
12707,6408,Martin St at McDowell St (EB),,35.776952,-78.641444,0,0
11851,1969,Salisbury St at Davie St (SB),,35.775082,-78.640386,0,1
11852,1970,Salisbury St at South St (SB),,35.771774,-78.640662,0,1
1807,1299,Western Blvd at Boylan Ave (WB),,35.771872,-78.653227,0,1
11378,9809,Western Blvd at Hunt Dr (WB),,35.77525,-78.656954,0,0
12224,8524,Western Blvd at Ashe Ave (WB),,35.777677,-78.662236,0,1
1803,1301,Western Blvd at Morrill Dr (WB),,35.7813,-78.676367,0,1
1851,1276,Western Blvd at Whitmore Dr (WB),,35.784838,-78.689437,0,1
12658,8226,Western Blvd at Merendino St (WB),,35.785689,-78.705119,0,1
12668,8264,Western Blvd at Powell Dr (WB),,35.78663,-78.712852,0,1
11833,1945,Hillsborough St at Jones Franklin Rd (WB),,35.786492,-78.720291,0,1
12713,6414,Hillsborough St at Wolfwood Dr (WB),,35.786639,-78.730828,0,0
12711,6412,Hillsborough St at Bashford Rd (WB),,35.78868,-78.74256,0,0
1824,1843,Chatham St at WakeMed Soccer Park (WB),,35.790468,-78.753288,0,1
1822,11001,E Chatham St at NE Maynard Rd (WB),,35.792055,-78.764655,0,1
1819,11033,E Chatham St at Ward St (WB),,35.789544,-78.772843,0,1
12768,6317,Pettigrew St at Mangum St (EB),,35.994043,-78.901596,0,0
12859,5154,Alston Ave at Linwood Ave (SB),,35.980118,-78.89164,0,0
12769,5204,Alston St at Dupree St (SB),,35.976624,-78.89298,0,0
12771,6052,Lawson St at Ridgeway Ave (EB),,35.973764,-78.887444,0,0
12773,6130,Lawson St at Bacon St (EB),,35.974109,-78.885176,0,0
12775,5316,Lawson St at DTCC Public Safety (EB),,35.974269,-78.880608,0,0
12860,6058,Lawson St at Briggs Ave (EB),,35.974221,-78.876941,0,0
12777,2020,Ellis Rd at Feeney St (EB),,35.93905,-78.85339,0,0
12779,6451,Ellis Rd at Advancement Av (EB),,35.938272,-78.851801,0,0
12781,6450,Ellis Rd at New Haven Ln (EB),,35.939434,-78.84591,0,0
12783,6520,Miami Blvd at Ellis Rd (SB),,35.942016,-78.83885,0,0
12785,6266,Miami Blvd at New Haven Dr,,35.936362,-78.842472,0,0
12787,2022,Miami Blvd at Lumley Rd (SB),,35.93129,-78.84341,0,0
12789,2024,Miami Blvd at TW Alexander Dr (SB),,35.92346,-78.84717,0,0
12791,6261,Miami Blvd at Stirrup Creek Dr (PBM Graphics),,35.920127,-78.848983,0,0
12793,2026,Miami Blvd at Patriot Dr (SB),,35.9115,-78.85101,0,0
12795,2028,Miami Blvd at Cornwallis Rd (SB),,35.90198,-78.8515,0,0
1708,1855,Miami Blvd at Chin Page Rd (across),,35.897284,-78.849334,0,1
1701,1513,Miami Blvd at Guardian Dr (across),,35.894751,-78.848321,0,0
1699,1566,Slater Rd at Miami Blvd (EB),,35.881665,-78.849232,0,1
1679,1221,Slater Rd at Page Rd (EB),,35.879671,-78.846614,0,1
1684,1222,Slater Rd at Emperor Blvd (EB),,35.877982,-78.843286,0,1
1734,1776,Slater Rd at GoTriangle (EB),,35.875999,-78.837494,0,1
12123,11289,Chapel Hill Rd at Boundary St (WB),,35.793693,-78.789662,0,1
12124,11291,Chapel Hill Rd at Middleton Rd (WB),,35.796556,-78.793394,0,1
12126,11307,Chapel Hill Rd at NW Cary Pkwy (WB),,35.807726,-78.813113,0,1
12127,11309,Chapel Hill Rd at Ridgemere Dr (WB),,35.809984,-78.816208,0,1
12128,11311,Chapel Hill Rd at Weston Pkwy (WB),,35.813037,-78.818867,0,1
12129,11315,Weston Pkwy at Shelton Dr (NB),,35.816506,-78.811589,0,1
12130,1330,Evans Rd at Weston Pkwy (NB),,35.826982,-78.806431,0,1
12131,1328,McCrimmon Pkwy at Aviation Pkwy (WB),,35.83347,-78.81486,0,1
12863,2040,McCrimmon Pkwy at Odyssey Ln,,35.848293,-78.821398,0,0
12133,1324,McCrimmon Pkwy at Airport Blvd (WB),,35.848984,-78.827312,0,1
12069,1251,Watkins Rd at Perimeter Park Dr (WB),,35.851144,-78.831116,0,1
12067,1252,Watkins Rd at Wake Tech RTP Campus (WB),,35.852355,-78.83946,0,1
12765,2016,Shiloh Glenn Dr at Walmart (EB),,35.865747,-78.846176,0,0
12767,2018,Shiloh Glenn Dr at Lower Shiloh Way (EB),,35.866136,-78.839689,0,0
1680,1499,Slater Rd at Page Rd (WB),,35.879881,-78.846564,0,1
1700,1558,Slater Rd at Creekstone Dr (WB),,35.88147,-78.848568,0,1
1698,1557,NC 54 at New Millennium Way (WB),,35.887089,-78.855556,0,1
1687,1861,NC 54 at Rodbell St (WB),,35.89262,-78.8654,0,1
1685,1863,NC 54 at Park Office Dr (WB),,35.89636,-78.87331,0,1
12804,2031,NC 54 at TW Alexander Dr (WB),,35.89887,-78.87947,0,0
1661,1865,NC 54 at Triangle Dr (WB),,35.900327,-78.884784,0,1
1648,1871,NC 54 at S Alston Ave (WB),,35.90079,-78.889864,0,1
1645,1872,NC 54 at NC 55 (WB),,35.902436,-78.894799,0,1
12156,5063,NC 54 at Residence Inn Blvd (WB),,35.902743,-78.89819,0,1
12157,5129,NC 54 at The Hamptons Apts (WB),,35.902813,-78.903274,0,1
1466,1171,NC 54 at Blanchard Rd (WB),,35.902797,-78.906619,0,1
12171,5441,NC 54 at Waterford Valley Dr (WB),,35.903231,-78.909291,0,1
12172,5443,NC 54 at Revere Rd (WB),,35.904018,-78.911836,0,1
12694,5374,NC 54 at Barbee Rd (WB),,35.905808,-78.917778,0,0
12187,6000,NC 54 at Pine Glen Trail (WB),,35.907326,-78.92281,0,1
1454,1175,NC 54 at Fayetteville Rd (WB),,35.910134,-78.932028,0,1
11439,1892,Fayetteville Rd at Renaissance Pkwy (SB),,35.901545,-78.939995,0,1
12154,1406,Renaissance Pkwy at Southpoint Mall (WB),,35.903619,-78.946711,0,1
12644,6252,Renaissance Pkwy at Renaissance Village (WB),,35.902963,-78.953911,0,1
1449,1804,Renaissance Pkwy at Leonardo Dr (WB),,35.90119,-78.958944,0,1
1446,1613,NC 54 at Falconbridge Rd (WB),,35.911198,-78.985477,0,1
1445,1211,NC 54 at Meadowmont Ln (WB),,35.902662,-79.009706,0,1
1443,3014,Raleigh Rd at Burning Tree Dr (WB),,35.906632,-79.019143,0,1
1440,3387,Raleigh Rd at Glen Lennox Shopping Center (WB),,35.908412,-79.024814,0,1
1439,3114,Raleigh Rd at UNC Administration (WB),,35.909578,-79.030225,0,1
1434,3431,South Rd at Country Club Rd (WB),,35.910742,-79.04289,0,1
1432,3360,South Rd at Student Stores (WB),,35.909768,-79.047842,0,1
1431,3215,South Rd at Kenan Labs (WB),,35.90873,-79.051114,0,1
12733,57746,Willard St at Durham Station,,35.996339,-78.907641,0,0
12646,6286,Chapel Dr at Duke University Rd (NB),,35.998206,-78.93349,0,1
12690,1412,S Main St at Village Walk Dr (NB),,35.63754,-78.8358,0,1
